indicatorId,geoUnit,year,value,qualifier,magnitude
LR.GALP.AG15T99,EGY,2022,75,UIS_EST,
LR.GALP.AG15T99,NGA,2008,51,UIS_EST,
LR.GALP.AG15T99,NGA,2018,62,UIS_EST,
NY.GDP.MKTP.CD,EGY,2000,99838543960.0763,,
NY.GDP.MKTP.CD,EGY,2001,96684636118.5984,,
NY.GDP.MKTP.CD,EGY,2002,85146067415.7303,,
NY.GDP.MKTP.CD,EGY,2003,80288461538.4615,,
NY.GDP.MKTP.CD,EGY,2004,78782467532.4675,,
NY.GDP.MKTP.CD,EGY,2005,89600665557.4043,,
NY.GDP.MKTP.CD,EGY,2006,107426086956.522,,
NY.GDP.MKTP.CD,EGY,2007,130437828371.278,,
NY.GDP.MKTP.CD,EGY,2008,162818181818.182,,
NY.GDP.MKTP.CD,EGY,2009,189147005444.646,,
NY.GDP.MKTP.CD,EGY,2010,218983666061.706,,
NY.GDP.MKTP.CD,EGY,2011,235989672977.625,,
NY.GDP.MKTP.CD,EGY,2012,279116666666.667,,
NY.GDP.MKTP.CD,EGY,2013,288434108527.132,,
NY.GDP.MKTP.CD,EGY,2014,305595408895.265,,
NY.GDP.MKTP.CD,EGY,2015,329366576819.407,,
NY.GDP.MKTP.CD,EGY,2016,332441717791.411,,
NY.GDP.MKTP.CD,EGY,2017,248362771739.13,,
NY.GDP.MKTP.CD,EGY,2018,262588632526.73,,
NY.GDP.MKTP.CD,EGY,2019,318678815489.749,,
NY.GDP.MKTP.CD,EGY,2020,383817841547.099,,
NY.GDP.MKTP.CD,EGY,2021,424671765455.704,,
NY.GDP.MKTP.CD,EGY,2022,476747720364.742,,
NY.GDP.MKTP.CD,EGY,2023,395926075163.006,,
NY.GDP.MKTP.CD,MOZ,2000,5930685214.61595,,
NY.GDP.MKTP.CD,MOZ,2001,5650154067.10346,,
NY.GDP.MKTP.CD,MOZ,2002,5950769426.60213,,
NY.GDP.MKTP.CD,MOZ,2003,6583526860.58062,,
NY.GDP.MKTP.CD,MOZ,2004,7937255565.35765,,
NY.GDP.MKTP.CD,MOZ,2005,8868504899.94673,,
NY.GDP.MKTP.CD,MOZ,2006,9509835536.93373,,
NY.GDP.MKTP.CD,MOZ,2007,10811456005.9405,,
NY.GDP.MKTP.CD,MOZ,2008,12920340964.6544,,
NY.GDP.MKTP.CD,MOZ,2009,12263894790.0125,,
NY.GDP.MKTP.CD,MOZ,2010,11411894723.864,,
NY.GDP.MKTP.CD,MOZ,2011,14619279988.716,,
NY.GDP.MKTP.CD,MOZ,2012,16688114144.0745,,
NY.GDP.MKTP.CD,MOZ,2013,17198073057.1981,,
NY.GDP.MKTP.CD,MOZ,2014,17978246586.0662,,
NY.GDP.MKTP.CD,MOZ,2015,16208985769.615,,
NY.GDP.MKTP.CD,MOZ,2016,12069051237.1711,,
NY.GDP.MKTP.CD,MOZ,2017,13264640645.7768,,
NY.GDP.MKTP.CD,MOZ,2018,15017359042.4464,,
NY.GDP.MKTP.CD,MOZ,2019,15512758964.5779,,
NY.GDP.MKTP.CD,MOZ,2020,14235420174.1813,,
NY.GDP.MKTP.CD,MOZ,2021,16168055475.085,,
NY.GDP.MKTP.CD,MOZ,2022,18406835494.9468,,
NY.GDP.MKTP.CD,MOZ,2023,20624597846.5495,,
NY.GDP.MKTP.CD,NGA,2000,69171451627.2465,,
NY.GDP.MKTP.CD,NGA,2001,73557840064.489,,
NY.GDP.MKTP.CD,NGA,2002,95054059302.6995,,
NY.GDP.MKTP.CD,NGA,2003,104738954264.226,,
NY.GDP.MKTP.CD,NGA,2004,135764731645.611,,
NY.GDP.MKTP.CD,NGA,2005,175670569969.346,,
NY.GDP.MKTP.CD,NGA,2006,238454997161.48,,
NY.GDP.MKTP.CD,NGA,2007,278260846800.103,,
NY.GDP.MKTP.CD,NGA,2008,339476276257.793,,
NY.GDP.MKTP.CD,NGA,2009,295008835380.997,,
NY.GDP.MKTP.CD,NGA,2010,366990417129.04,,
NY.GDP.MKTP.CD,NGA,2011,414466676831.16,,
NY.GDP.MKTP.CD,NGA,2012,463971018239.281,,
NY.GDP.MKTP.CD,NGA,2013,520117180313.906,,
NY.GDP.MKTP.CD,NGA,2014,574183763411.508,,
NY.GDP.MKTP.CD,NGA,2015,493026682800.63,,
NY.GDP.MKTP.CD,NGA,2016,404649125252.16,,
NY.GDP.MKTP.CD,NGA,2017,375745731053.427,,
NY.GDP.MKTP.CD,NGA,2018,421739251509.08,,
NY.GDP.MKTP.CD,NGA,2019,474517490844.461,,
NY.GDP.MKTP.CD,NGA,2020,432198898467.795,,
NY.GDP.MKTP.CD,NGA,2021,440838992188.478,,
