indicatorId,geoUnit,year,value,qualifier,magnitude
200101,EGY,2000,72299.31,,
200101,EGY,2001,73867.258,,
200101,EGY,2002,75436.8,,
200101,EGY,2003,77041.474,,
200101,EGY,2004,78665.622,,
200101,EGY,2005,80289.265,,
200101,EGY,2006,81912.742,,
200101,EGY,2007,83488.064,,
200101,EGY,2008,85064.386,,
200101,EGY,2009,86665.193,,
200101,EGY,2010,88338.078,,
200101,EGY,2011,90054.067,,
200101,EGY,2012,92132.051,,
200101,EGY,2013,94189.952,,
200101,EGY,2014,96477.154,,
200101,EGY,2015,98580.154,,
200101,EGY,2016,100614.53,,
200101,EGY,2017,102674.648,,
200101,EGY,2018,104717.467,,
200101,EGY,2019,106646.72,,
200101,EGY,2020,108459.596,,
200101,EGY,2021,110170.651,,
200101,EGY,2022,111743.365,,
200101,EGY,2023,113493.134,,
200101,GHA,2000,19384.822,,
200101,GHA,2001,19889.352,,
200101,GHA,2002,20444.785,,
200101,GHA,2003,21013.991,,
200101,GHA,2004,21579.419,,
200101,GHA,2005,22157.177,,
200101,GHA,2006,22741.699,,
200101,GHA,2007,23339.705,,
200101,GHA,2008,23944.853,,
200101,GHA,2009,24555.039,,
200101,GHA,2010,25170.29,,
200101,GHA,2011,25779.699,,
200101,GHA,2012,26410.477,,
200101,GHA,2013,27058.06,,
200101,GHA,2014,27714.325,,
200101,GHA,2015,28368.86,,
200101,GHA,2016,29023.275,,
200101,GHA,2017,29690.208,,
200101,GHA,2018,30326.5,,
200101,GHA,2019,30948.669,,
200101,GHA,2020,31569.221,,
200101,GHA,2021,32206.397,,
200101,GHA,2022,32830.933,,
200101,GHA,2023,33467.371,,
200101,MOZ,2000,17928.808,,
200101,MOZ,2001,18330.497,,
200101,MOZ,2002,18744.961,,
200101,MOZ,2003,19171.715,,
200101,MOZ,2004,19613.235,,
200101,MOZ,2005,20067.391,,
200101,MOZ,2006,20541.747,,
200101,MOZ,2007,21032.426,,
200101,MOZ,2008,21542.844,,
200101,MOZ,2009,22095.228,,
200101,MOZ,2010,22688.261,,
200101,MOZ,2011,23310.209,,
200101,MOZ,2012,23987.869,,
200101,MOZ,2013,24687.824,,
200101,MOZ,2014,25415.398,,
200101,MOZ,2015,26161.552,,
200101,MOZ,2016,26933.593,,
200101,MOZ,2017,27740.616,,
200101,MOZ,2018,28592.171,,
200101,MOZ,2019,29445.118,,
200101,MOZ,2020,30323.642,,
200101,MOZ,2021,31243.734,,
200101,MOZ,2022,32171.866,,
200101,MOZ,2023,33140.626,,
200101,NGA,2000,124673.629,,
200101,NGA,2001,128091.359,,
200101,NGA,2002,131633.83,,
200101,NGA,2003,135310.147,,
200101,NGA,2004,139095.142,,
200101,NGA,2005,143018.948,,
200101,NGA,2006,147015.559,,
200101,NGA,2007,151139.108,,
200101,NGA,2008,155395.414,,
200101,NGA,2009,159794.614,,
200101,NGA,2010,164304.314,,
200101,NGA,2011,168981.457,,
200101,NGA,2012,173777.738,,
200101,NGA,2013,178623.511,,
200101,NGA,2014,183475.375,,
200101,NGA,2015,188318.455,,
200101,NGA,2016,193025.301,,
200101,NGA,2017,197862.099,,
200101,NGA,2018,202647.058,,
200101,NGA,2019,207230.451,,
200101,NGA,2020,211740.831,,
200101,NGA,2021,216251.531,,
200101,NGA,2022,220807.042,,
200101,NGA,2023,225494.749,,
200101,SEN,2000,9847.715,,
200101,SEN,2001,10088.805,,
200101,SEN,2002,10337.079,,
200101,SEN,2003,10595.349,,
200101,SEN,2004,10847.003,,
200101,SEN,2005,11104.406,,
200101,SEN,2006,11366.538,,
200101,SEN,2007,11633.651,,
200101,SEN,2008,11907.036,,
200101,SEN,2009,12190.882,,
200101,SEN,2010,12483.896,,
200101,SEN,2011,12786.929,,
200101,SEN,2012,13130.864,,
200101,SEN,2013,13490.125,,
200101,SEN,2014,13931.573,,
200101,SEN,2015,14372.63,,
200101,SEN,2016,14814.031,,
200101,SEN,2017,15255.01,,
200101,SEN,2018,15694.993,,
200101,SEN,2019,16134.004,,
200101,SEN,2020,16571.839,,
200101,SEN,2021,17006.6,,
200101,SEN,2022,17435.133,,
200101,SEN,2023,17867.073,,
NY.GDP.MKTP.KD.ZG,EGY,2000,6.37,,
NY.GDP.MKTP.KD.ZG,EGY,2001,3.53525,,
NY.GDP.MKTP.KD.ZG,EGY,2002,2.3902,,
NY.GDP.MKTP.KD.ZG,EGY,2003,3.19345,,
NY.GDP.MKTP.KD.ZG,EGY,2004,4.09207,,
NY.GDP.MKTP.KD.ZG,EGY,2005,4.47174,,
NY.GDP.MKTP.KD.ZG,EGY,2006,6.84384,,
